id,longitude,latitude,seg_bits,scale_id,scale,cap_spring,cap_summer,cap_autumn,cap_winter,build_cost_usd,op_cost_usd_for_4seasons,is_active_solve
0,113.19168819995048,22.68346580020659,000,0,NONE,0,0,0,0,0,0.0,0
1,113.19155129975276,22.683460399777687,000,0,NONE,0,0,0,0,0,0.0,0
2,113.18665779981768,22.689209199944685,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
3,113.1920611002397,22.686595199908595,000,0,NONE,0,0,0,0,0,0.0,1
4,113.19345549997138,22.689249500364213,000,0,NONE,0,0,0,0,0,0.0,0
5,113.1916092997294,22.68888160030565,000,0,NONE,0,0,0,0,0,0.0,0
6,113.1929936000746,22.6909960997902,000,0,NONE,0,0,0,0,0,0.0,1
7,113.2649686996458,22.739629700350463,000,0,NONE,0,0,0,0,0,0.0,0
8,113.26538610018838,22.74052199959067,000,0,NONE,0,0,0,0,0,0.0,1
9,113.2666677995793,22.74107420041406,000,0,NONE,0,0,0,0,0,0.0,0
10,113.2690703995794,22.74224280016517,000,0,NONE,0,0,0,0,0,0.0,1
11,113.26589670017268,22.744672699985188,000,0,NONE,0,0,0,0,0,0.0,1
12,113.26352550000183,22.74594120002644,010,2,M,15872,15360,15872,15360,179984,4211.172602739726,1
13,112.43401139960643,22.716093599739903,000,0,NONE,0,0,0,0,0,0.0,1
14,112.4382877002173,22.721233899724723,000,0,NONE,0,0,0,0,0,0.0,1
15,112.43431619963292,22.71701059975942,000,0,NONE,0,0,0,0,0,0.0,0
16,112.44521320032902,22.71882159963718,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
17,112.44407059997832,22.725622799952305,000,0,NONE,0,0,0,0,0,0.0,1
18,112.44127029998448,22.72338380012235,100,1,S,7936,7680,7936,7680,89992,2105.419178082192,1
19,112.4438292003574,22.725714299675246,000,0,NONE,0,0,0,0,0,0.0,0
20,112.43262019966257,22.72323540029356,000,0,NONE,0,0,0,0,0,0.0,0
21,112.44063879964096,22.723851100447973,000,0,NONE,0,0,0,0,0,0.0,1
