id,longitude,latitude,seg_bits,scale_id,scale,cap_2020,cap_2025,cap_2030,cap_2035,cap_2040,build_cost_usd,op_cost_usd_for_total_duration,is_active_solve
1,-80.3774124901,25.5312021479,000,0,NONE,0,0,0,0,0,0,0.0,0
2,-80.4750627341,25.4533661063,000,0,NONE,0,0,0,0,0,0,0.0,0
3,-80.3855847294,25.6474061053,000,0,NONE,0,0,0,0,0,0,0.0,0
4,-80.3184177085,25.7236000883,000,0,NONE,0,0,0,0,0,0,0.0,0
5,-80.3858997088,25.7764931092,000,0,NONE,0,0,0,0,0,0,0.0,0
6,-80.3210187079,25.7808220804,000,0,NONE,0,0,0,0,0,0,0.0,0
7,-80.2039377253,25.7888411075,000,0,NONE,0,0,0,0,0,0,0.0,0
8,-80.2130097264,25.7489620851,000,0,NONE,0,0,0,0,0,0,0.0,0
9,-80.1854427466,25.7871490916,000,0,NONE,0,0,0,0,0,0,0.0,0
10,-80.2063497377,25.8124480918,000,0,NONE,0,0,0,0,0,0,0.0,0
11,-80.1359157181,25.8128171097,000,0,NONE,0,0,0,0,0,0,0.0,0
12,-80.3243217461,25.9003510724,000,0,NONE,0,0,0,0,0,0,0.0,0
13,-80.3854317394,25.900477107,000,0,NONE,0,0,0,0,0,0,0.0,0
14,-80.207357714,25.9268200817,000,0,NONE,0,0,0,0,0,0,0.0,0
15,-80.2157457177,25.934893105,000,0,NONE,0,0,0,0,0,0,0.0,0
16,-80.351195729,25.9485731019,000,0,NONE,0,0,0,0,0,0,0.0,0
17,-80.2296648173,25.9734788295,000,0,NONE,0,0,0,0,0,0,0.0,0
18,-80.2298757272,25.9785700921,000,0,NONE,0,0,0,0,0,0,0.0,0
19,-80.4328300663,26.0123085292,000,0,NONE,0,0,0,0,0,0,0.0,0
20,-80.168432714,26.0815481052,000,0,NONE,0,0,0,0,0,0,0.0,0
21,-80.1346377168,26.0806300808,000,0,NONE,0,0,0,0,0,0,0.0,0
22,-80.2163847184,26.0907460986,000,0,NONE,0,0,0,0,0,0,0.0,0
23,-80.345939733,26.1222550749,000,0,NONE,0,0,0,0,0,0,0.0,0
24,-80.4421767203,26.1459160976,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
25,-81.6124571055,26.1540663908,001,3,L,696864,694960,694960,694960,696864,3200000,450493.15068493155,1
26,-81.223664848,26.1660309416,001,3,L,696864,694960,694960,694960,696864,3200000,450493.15068493155,1
27,-80.8323829882,26.166780406,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
28,-80.2946847328,26.1940930872,000,0,NONE,0,0,0,0,0,0,0.0,0
29,-80.1506948493,26.195999971,000,0,NONE,0,0,0,0,0,0,0.0,0
30,-80.2027196854,26.2016572472,000,0,NONE,0,0,0,0,0,0,0.0,0
31,-80.2852463237,26.3022779546,000,0,NONE,0,0,0,0,0,0,0.0,0
32,-80.1197067171,26.3045680773,000,0,NONE,0,0,0,0,0,0,0.0,0
33,-80.1695397255,26.3055400987,000,0,NONE,0,0,0,0,0,0,0.0,0
34,-80.0931927112,26.3944241003,000,0,NONE,0,0,0,0,0,0,0.0,0
35,-80.5901452756,26.4029897453,010,2,M,345870,344925,344925,344925,345870,1750000,250273.97260273973,1
36,-81.7745550156,26.4284117926,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
37,-80.1734719913,26.5926807245,000,0,NONE,0,0,0,0,0,0,0.0,0
38,-80.0704330151,26.6586473897,000,0,NONE,0,0,0,0,0,0,0.0,0
39,-80.7152997258,26.6641000764,010,2,M,345870,344925,344925,344925,345870,1750000,250273.97260273973,1
40,-81.0191424339,26.7541247349,010,2,M,345870,344925,344925,344925,345870,1750000,250273.97260273973,1
41,-81.8810067131,26.7698680769,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
42,-80.1289408264,26.8670768229,000,0,NONE,0,0,0,0,0,0,0.0,0
43,-81.2434503125,26.9010836708,010,2,M,345870,344925,344925,344925,345870,1750000,250273.97260273973,1
44,-80.140913597,26.9056965103,000,0,NONE,0,0,0,0,0,0,0.0,0
45,-82.0417545546,27.0092144196,001,3,L,696864,694960,694960,694960,696864,3200000,450493.15068493155,1
46,-82.3053241133,27.1058905674,000,0,NONE,0,0,0,0,0,0,0.0,1
47,-80.2687557305,27.1097530872,000,0,NONE,0,0,0,0,0,0,0.0,0
48,-80.2801860022,27.1250815863,000,0,NONE,0,0,0,0,0,0,0.0,0
49,-81.3286610062,27.1791486911,001,3,L,696864,694960,694960,694960,696864,3200000,450493.15068493155,1
50,-80.3996593613,27.224310065,000,0,NONE,0,0,0,0,0,0,0.0,0
51,-80.3494627345,27.2565848761,000,0,NONE,0,0,0,0,0,0,0.0,0
52,-82.4485195043,27.3064402003,000,0,NONE,0,0,0,0,0,0,0.0,1
53,-80.3948478472,27.395959554,000,0,NONE,0,0,0,0,0,0,0.0,0
54,-81.445586711,27.4720300771,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
